hand,hero_win,villain_win,tie
2dQs,0.448,0.512,0.04
2dKc,0.522,0.434,0.044
2dKd,0.474,0.472,0.054
2dKh,0.48,0.482,0.038
2dKs,0.472,0.49,0.038
2dAc,0.52,0.438,0.042
2dAd,0.54,0.422,0.038
2dAh,0.532,0.414,0.054
2dAs,0.48,0.484,0.036
2h2s,0.462,0.518,0.02
2h3c,0.286,0.656,0.058
2h3d,0.306,0.618,0.076
2h3h,0.35,0.616,0.034
2h3s,0.296,0.658,0.046
2h4c,0.286,0.632,0.082
2h4d,0.316,0.628,0.056
2h4h,0.324,0.626,0.05
2h4s,0.286,0.64,0.074
2h5c,0.338,0.59,0.072
2h5d,0.294,0.614,0.092
2h5h,0.364,0.588,0.048
2h5s,0.346,0.598,0.056
2h6c,0.304,0.642,0.054
2h6d,0.308,0.64,0.052
2h6h,0.362,0.584,0.054
2h6s,0.314,0.624,0.062
2h7c,0.284,0.66,0.056
2h7d,0.326,0.618,0.056
2h7h,0.366,0.58,0.054
2h7s,0.332,0.61,0.058
2h8c,0.338,0.604,0.058
2h8d,0.358,0.584,0.058
2h8h,0.38,0.566,0.054
2h8s,0.324,0.618,0.058
2h9c,0.346,0.608,0.046
2h9d,0.386,0.578,0.036
2h9h,0.394,0.548,0.058
2h9s,0.354,0.612,0.034
2hTc,0.394,0.562,0.044
2hTd,0.422,0.534,0.044
2hTh,0.43,0.54,0.03
2hTs,0.388,0.566,0.046
2hJc,0.424,0.53,0.046
2hJd,0.42,0.528,0.052
2hJh,0.47,0.474,0.056
2hJs,0.466,0.482,0.052
2hQc,0.438,0.5,0.062
2hQd,0.46,0.49,0.05
2hQh,0.472,0.492,0.036
2hQs,0.446,0.506,0.048
2hKc,0.5,0.478,0.022
2hKd,0.468,0.496,0.036
2hKh,0.518,0.422,0.06
2hKs,0.456,0.5,0.044
2hAc,0.51,0.432,0.058
2hAd,0.558,0.412,0.03
2hAh,0.556,0.404,0.04
2hAs,0.496,0.458,0.046
2s3c,0.29,0.65,0.06
2s3d,0.304,0.652,0.044
2s3h,0.27,0.646,0.084
2s3s,0.314,0.642,0.044
2s4c,0.32,0.612,0.068
2s4d,0.294,0.648,0.058
2s4h,0.298,0.65,0.052
2s4s,0.35,0.588,0.062
2s5c,0.308,0.622,0.07
2s5d,0.304,0.658,0.038
2s5h,0.292,0.642,0.066
2s5s,0.374,0.574,0.052
2s6c,0.358,0.592,0.05
2s6d,0.298,0.646,0.056
2s6h,0.294,0.62,0.086
2s6s,0.354,0.586,0.06
2s7c,0.298,0.626,0.076
2s7d,0.32,0.628,0.052
2s7h,0.276,0.662,0.062
2s7s,0.376,0.564,0.06
2s8c,0.376,0.578,0.046
2s8d,0.354,0.588,0.058
2s8h,0.32,0.614,0.066
2s8s,0.326,0.618,0.056
2s9c,0.37,0.58,0.05
2s9d,0.33,0.618,0.052
2s9h,0.348,0.612,0.04
2s9s,0.384,0.554,0.062
2sTc,0.38,0.57,0.05
2sTd,0.39,0.558,0.052
2sTh,0.398,0.548,0.054
2sTs,0.426,0.53,0.044
2sJc,0.444,0.5,0.056
2sJd,0.414,0.544,0.042
2sJh,0.408,0.538,0.054
2sJs,0.49,0.464,0.046
2sQc,0.44,0.534,0.026
2sQd,0.444,0.504,0.052
2sQh,0.458,0.492,0.05
2sQs,0.468,0.502,0.03
2sKc,0.49,0.48,0.03
2sKd,0.478,0.486,0.036
2sKh,0.478,0.474,0.048
2sKs,0.512,0.45,0.038
2sAc,0.502,0.442,0.056
2sAd,0.496,0.472,0.032
2sAh,0.522,0.442,0.036
2sAs,0.524,0.432,0.044
3c3d,0.544,0.442,0.014
3c3h,0.512,0.47,0.018
3c3s,0.584,0.402,0.014
3c4c,0.36,0.554,0.086
3c4d,0.332,0.594,0.074
3c4h,0.314,0.64,0.046
3c4s,0.318,0.614,0.068
3c5c,0.38,0.55,0.07
3c5d,0.328,0.596,0.076
3c5h,0.334,0.594,0.072
3c5s,0.312,0.62,0.068
3c6c,0.35,0.594,0.056
3c6d,0.294,0.662,0.044
3c6h,0.33,0.6,0.07
3c6s,0.314,0.62,0.066
3c7c,0.374,0.558,0.068
3c7d,0.304,0.652,0.044
3c7h,0.338,0.604,0.058
3c7s,0.348,0.58,0.072
3c8c,0.388,0.554,0.058
3c8d,0.35,0.612,0.038
3c8h,0.384,0.552,0.064
3c8s,0.334,0.606,0.06
3c9c,0.434,0.508,0.058
3c9d,0.384,0.568,0.048
3c9h,0.42,0.522,0.058
3c9s,0.37,0.576,0.054
3cTc,0.454,0.496,0.05
3cTd,0.42,0.53,0.05
3cTh,0.39,0.556,0.054
3cTs,0.406,0.54,0.054
3cJc,0.444,0.51,0.046
3cJd,0.42,0.54,0.04
3cJh,0.44,0.524,0.036
